code,attrition,treatment,gender,educ,employ1,ethn,entity,age,bosniak,croat,serb,time_usage,freq_usage,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,othersm_1,othersm_2,othersm_3,othersm_4,othersm_5,freq_news,politics_int,numb_forums,trust_media.1,imp_family,imp_career,imp_relg,imp_neigh,imp_ethn,imp_hobby,imp_cntry,matched_percentage.3,percentage_bosniak.3,percentage_serbian.3,percentage_croatian.3,activ,satisf,depression,loneliness,nerv,boredom,joy,isol,fulf,no_friends,freq_fbnews,fbnews_st1,fbnews_st2,fbnews_st3,fbnews_st4,fbnews_st5,fbnews_st6,fbnews_st7,fbnews_st8,outfeel_therm,infeel_therm,trust_pol,trust_inst,trust_media,trust_police,trust_ngo,trust_relg,sd,agr_st1,agr_st2,agr_st3,agr_st4,trust_gov,agr_st5,agr_st6,agr_st7,agr_st8,agr_st9,agr_st10,agr_st11,agr_st12,agr_st13,agr_st14,agr_st15,oth_honest,oth_patriot,oth_broadv,oth_gener,oth_hyp,oth_self,oth_unreliab,oth_intel,oth_evil,in_honest,in_patriot,in_evil,in_broadv,in_gener,in_hyp,in_self,in_unreliab,in_intel,online_data
16,0,1,2,4,1,2,2,41,0.042,0.028,0.896,4,3,2,2,2,3,3,2,3,4,0,0,2,0,0,4,3,1,2,4,2,2,2,2,1,1,NA,NA,NA,NA,"4,6",3,2,3,3,2,3,2,4,2,3,0,0,0,1,0,0,0,1,80,96,1,2,2,2,2,2,6,-3,-3,-3,-2,4,4,-2,4,-1,3,2,-3,-2,-3,-2,2,0,-1,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,1,0
17,0,1,2,2,0,2,3,22,0.042,0.028,0.896,4,4,1,2,1,3,2,3,2,3,5,3,3,0,0,5,0,1,1,4,4,3,1,1,1,1,NA,NA,NA,NA,"1,2",5,1,1,2,2,4,1,4,4,1,-1,1,1,1,1,-1,0,1,30,100,2,3,1,2,3,4,6,-3,-3,-3,-2,3,4,3,4,3,3,2,-3,-2,2,3,3,-2,-4,0,0,0,0,0,0,0,-3,-4,0,0,0,0,0,0,0,0
18,0,0,1,3,1,2,2,34,0.042,0.028,0.896,4,4,2,2,2,2,1,2,1,3,5,0,5,0,0,4,3,2,1,4,3,1,3,3,3,3,NA,NA,NA,NA,1,5,2,2,2,2,4,1,4,4,2,0,-1,0,0,0,1,1,1,100,100,2,2,1,2,3,2,7,-3,-3,-3,0,0,4,0,7,-2,3,2,-2,-2,-3,-1,3,0,0,-2,-4,0,-1,-1,-1,-1,-2,-4,-1,-4,-4,0,-1,-2,-2,0
19,0,0,2,5,0,2,2,28,0.042,0.028,0.896,4,4,2,3,3,4,2,2,1,4,5,0,5,1,0,5,1,3,2,4,2,2,3,2,2,2,72.94281729,0.764818356,68.35564054,30.87954111,1,3,3,4,4,3,2,3,2,4,1,1,0,0,-1,1,1,1,0,20,95,1,1,1,2,2,3,1,-2,-3,-3,-1,1,7,0,4,0,-1,-1,-3,-1,-2,-2,3,2,3,3,4,2,4,1,3,4,4,4,-4,4,4,4,-4,-4,4,1
20,0,0,1,5,1,2,2,40,0.042,0.028,0.896,4,4,2,2,2,4,3,1,1,1,5,0,4,1,0,4,3,1,1,4,2,2,3,3,1,2,NA,NA,NA,NA,5,4,1,1,2,3,3,1,3,4,3,1,0,1,1,1,1,1,1,89,100,1,2,1,3,2,2,6,-3,-3,-3,-1,2,2,-1,5,1,3,3,-3,-3,-3,-1,3,0,-2,2,0,-2,0,0,2,0,2,0,-2,2,0,-2,-3,-4,-1,0
21,0,1,2,4,0,1,1,28,0.042,0.028,0.896,4,2,1,2,3,3,3,1,3,3,5,0,5,0,0,5,2,1,1,4,3,2,3,2,3,3,NA,NA,NA,NA,"1,4,5",4,1,2,2,3,4,2,4,2,3,1,1,1,-1,1,1,-1,1,80,80,2,3,1,3,3,2,6,-2,-2,-3,-1,4,4,1,6,3,3,3,-2,-2,-2,0,-1,-2,-2,1,-3,1,1,2,-2,2,-2,-2,2,-2,-2,1,-1,-1,-2,0
22,0,0,2,4,0,1,1,29,0.042,0.028,0.896,4,4,2,2,2,4,4,3,2,2,5,0,4,1,0,4,2,1,1,4,3,1,2,0,2,3,NA,NA,NA,NA,2,4,1,2,1,3,4,3,4,4,2,-1,0,0,0,1,0,1,1,100,100,1,2,0,2,2,2,7,-3,-3,-3,-1,0,7,-1,7,1,3,3,-3,-3,-3,-3,-3,-4,0,-4,-4,0,3,4,-4,4,-3,-3,3,-3,-3,0,4,4,-4,0
23,0,1,2,4,0,2,2,29,0.042,0.028,0.896,4,4,2,3,2,4,4,2,2,4,1,0,5,0,0,5,2,2,2,3,4,3,1,3,4,4,NA,NA,NA,NA,5,3,2,4,1,4,3,4,2,3,3,0,0,1,0,0,0,1,1,100,100,1,1,1,1,5,1,5,-3,-3,-3,-3,0,4,-3,7,1,3,3,-3,-3,-3,3,-3,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
24,0,1,1,5,1,2,2,47,0.042,0.028,0.896,4,3,2,2,2,2,1,2,1,2,0,0,2,0,0,4,4,2,0,4,3,1,2,3,3,2,NA,NA,NA,NA,4,4,2,1,2,1,4,1,4,3,2,0,0,0,0,0,0,1,1,65,67,1,1,1,2,3,1,7,-3,-3,-3,0,1,4,-1,5,-3,3,2,-1,-3,-2,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,2,2,0,-4,2,24,0.939,0.012,0.01,4,4,2,4,3,4,1,4,4,4,5,5,5,0,0,5,2,2,1,4,4,4,2,3,2,3,NA,NA,NA,NA,"1,3",4,2,2,3,4,4,2,4,4,2,-1,1,0,1,1,1,1,1,81,100,2,3,1,4,4,3,6,-2,-3,-3,-1,3,2,-1,6,-1,1,1,1,1,1,1,1,-2,-1,-2,-1,-3,-2,2,-4,-2,-1,-1,-2,-3,-1,0,0,-2,-1,0
26,0,0,2,2,0,2,2,24,0.939,0.012,0.01,4,4,2,4,3,4,1,4,4,4,5,5,5,0,0,5,2,2,1,4,4,4,2,3,2,3,NA,NA,NA,NA,1,5,2,1,2,3,5,1,5,4,2,-1,1,0,1,0,1,1,1,70,90,1,2,1,3,2,3,6,-3,-3,-3,-2,1,4,3,4,2,3,3,-3,-3,0,0,3,0,0,0,0,0,0,0,0,0,1,-4,0,0,0,0,0,0,0,0
27,0,1,1,5,1,2,2,50,0.881,0.058,0.016,4,4,4,4,4,4,0,4,1,4,5,0,2,0,0,4,3,2,1,4,4,0,0,0,0,0,73.09236948,3.846153846,54.67032967,41.48351648,"4,5",2,4,4,4,4,3,4,2,3,3,0,-1,1,1,0,1,1,1,89,100,1,1,1,2,3,2,6,-3,-3,-3,-3,5,4,3,7,3,3,2,-3,-1,-3,0,-1,0,3,-2,0,0,0,-3,-2,0,0,-4,0,1,0,0,0,0,0,1
28,0,1,1,3,0,2,2,24,0.881,0.058,0.016,4,2,1,1,1,1,1,1,1,2,5,0,4,0,0,4,1,1,0,4,4,4,4,4,4,4,79.97118156,91.41141141,4.024024024,4.564564565,"1,2,5",4,1,2,2,3,3,2,4,4,2,0,0,0,1,0,0,0,0,85,94,3,2,1,2,3,3,7,-3,-3,-2,0,2,4,0,4,0,1,1,-3,-2,0,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,1,2,1,0,2,2,18,0.881,0.058,0.016,4,3,0,2,1,3,1,3,1,4,5,5,5,0,0,2,1,1,2,4,4,2,2,3,3,3,NA,NA,NA,NA,"1,2,4",5,2,1,2,2,4,2,5,4,1,1,1,0,1,0,1,1,1,70,99,2,3,3,4,4,4,6,-3,-3,-3,-2,6,4,-1,4,-1,2,3,0,-1,0,1,3,-1,-4,-1,1,0,-2,-1,-1,-1,-1,-3,1,1,1,1,-1,-1,-2,0
30,0,0,2,2,0,2,2,19,0.881,0.058,0.016,4,4,2,1,1,2,1,3,3,4,5,0,5,0,0,2,2,2,1,2,4,1,1,1,3,1,80.86261981,95.37732122,1.264322402,3.358356381,"1,4",5,1,1,2,3,4,1,4,4,3,1,1,0,1,0,-1,1,0,70,85,1,2,1,2,2,2,6,-3,-3,-3,-3,0,4,0,4,1,3,3,-3,-3,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,0,0,2,2,0,2,2,19,0.881,0.058,0.016,4,4,2,1,1,2,1,3,3,4,5,0,5,0,0,2,2,2,1,2,4,1,1,1,3,1,NA,NA,NA,NA,1,2,4,4,5,4,2,3,2,4,2,0,0,0,0,0,0,0,0,100,100,1,1,2,2,3,1,7,-3,-3,-3,3,1,4,3,7,3,3,3,-3,-3,-3,-3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1,2,2,1,2,2,37,0.881,0.058,0.016,4,4,4,3,3,4,0,4,3,4,4,0,5,0,0,5,1,2,3,4,3,3,3,3,2,4,NA,NA,NA,NA,"1,4",4,2,2,3,4,4,3,3,3,3,0,0,-1,1,1,1,1,1,50,90,1,1,2,4,2,1,6,-3,-3,-3,2,2,1,-3,7,1,3,2,-3,-3,-3,3,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
33,0,0,2,4,0,1,1,37,0.881,0.058,0.016,4,4,3,3,3,3,2,2,1,2,1,0,5,0,0,5,2,2,1,4,3,3,1,1,3,0,NA,NA,NA,NA,4,4,3,3,2,3,4,1,4,3,2,1,1,0,1,0,1,-1,1,70,70,1,1,0,2,4,1,7,-3,-3,-3,3,0,7,0,7,3,3,3,-3,-3,-3,-3,-3,0,-4,1,0,1,0,-4,0,0,-4,-4,0,-3,4,-3,4,-4,4,0
34,0,1,1,2,1,2,2,39,0.122,0.005,0.852,4,4,2,2,1,2,2,1,1,3,0,0,3,0,0,2,1,1,0,4,3,4,2,3,1,1,64.9564051,1.738082946,63.14747892,35.11443813,"4,5",4,1,1,3,1,5,1,5,4,1,0,0,0,0,0,0,0,0,30,70,1,1,0,1,2,2,6,-3,-3,-3,-3,1,4,-3,5,-3,3,3,-3,-3,-3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,1,2,4,1,1,2,37,0.122,0.005,0.852,4,4,1,2,1,3,3,1,1,2,0,0,1,0,0,1,1,1,0,4,3,3,3,2,3,2,87.35955056,6.109324759,62.54019293,31.35048232,2,3,2,3,3,3,4,3,3,2,3,0,0,0,1,-1,1,1,1,72,90,1,2,1,3,2,2,6,-3,-3,-3,0,2,4,1,6,1,3,2,-3,-1,-2,0,1,0,0,2,-1,-2,2,1,0,0,0,0,2,2,-3,1,2,0,0,1
36,0,1,2,4,0,3,1,22,0.122,0.005,0.852,4,4,1,2,3,4,2,4,3,4,5,5,5,0,0,5,2,2,2,4,4,3,3,2,4,1,37.09122203,3.712296984,60.44083527,35.84686775,"1,4",5,1,1,1,2,5,1,4,2,3,-1,-1,0,0,-1,0,1,0,96,100,2,3,3,3,2,1,4,-3,-1,-3,3,7,4,1,7,0,2,3,1,0,-1,1,3,-4,-2,-4,-4,0,4,4,-4,4,-4,-4,4,0,-4,0,4,0,-4,1
37,0,1,2,5,1,1,2,43,0.122,0.005,0.852,4,4,1,1,1,4,1,1,1,1,4,0,3,0,0,5,4,1,0,4,4,2,3,1,2,2,NA,NA,NA,NA,"1,6",4,2,3,2,2,4,3,5,3,2,-1,-1,0,1,-1,0,0,1,65,71,2,2,1,1,2,2,6,-3,-3,-2,-2,1,4,2,6,-3,3,3,-3,-2,-2,-3,1,1,2,-2,2,0,0,1,1,1,2,2,0,2,2,0,1,0,1,0
38,0,0,2,4,0,3,1,31,0.122,0.005,0.852,4,4,3,3,3,2,3,2,3,2,5,0,5,0,0,5,1,2,2,3,2,3,3,1,3,1,63.54249404,8,59.4375,32.5625,4,4,2,3,3,1,4,2,5,4,3,-1,0,-1,1,0,1,1,1,89,100,1,2,1,2,3,3,6,-3,-3,-3,0,0,2,2,4,0,3,3,-3,-3,0,-3,3,4,3,4,4,0,-4,-4,2,-3,4,0,1,-4,2,2,-4,3,4,1
39,0,0,1,4,0,2,2,58,0.122,0.005,0.852,4,4,3,2,2,4,4,1,0,4,5,0,2,0,0,4,2,1,1,4,2,3,1,4,3,1,78.75,13.75661376,61.64021164,24.6031746,"2,3",3,4,4,1,1,3,1,1,2,3,1,1,1,1,-1,1,1,1,100,100,2,3,0,2,1,1,7,-3,-2,-2,-3,1,7,3,1,-3,3,3,-3,-3,-3,-3,3,0,1,1,4,0,4,-3,0,4,-4,4,0,-4,1,0,0,-3,0,1
40,0,1,2,3,1,2,1,49,0.122,0.005,0.852,4,4,2,2,2,2,3,2,1,2,0,0,2,1,0,3,1,1,1,4,4,3,2,2,3,2,NA,NA,NA,NA,2,4,1,2,2,2,4,2,4,3,1,0,0,0,0,0,0,1,0,52,79,2,2,1,2,2,2,5,-2,-1,-1,-1,4,4,-1,6,0,1,1,-1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,2,2,0,0,1,0,0
41,0,1,1,2,0,1,1,33,0.434,0.004,0.545,4,4,2,2,3,3,2,1,2,4,1,0,5,0,0,0,0,1,1,4,3,4,4,4,2,1,83.33333333,1.886792453,68.49056604,29.62264151,"4,6",4,3,1,2,2,4,1,4,3,2,1,0,0,1,0,0,1,1,52,88,1,2,1,3,2,2,4,-3,-3,-2,-3,7,5,-3,5,-1,2,2,-2,-3,-3,3,3,-3,-4,-2,-3,0,3,0,-3,2,-2,2,2,-2,-3,0,0,3,-3,1
42,0,0,2,2,0,-1,2,31,0.424,0.207,0.346,4,4,2,2,2,4,2,3,4,4,5,3,5,0,0,5,1,1,3,4,2,4,4,4,3,4,NA,NA,NA,NA,"1,2,3,4",4,2,2,2,3,4,2,4,3,1,0,1,0,0,-1,1,1,1,74,100,1,2,2,3,4,3,6,-3,-3,-3,-3,1,4,0,4,-3,3,3,-3,-3,-3,0,3,4,4,4,4,4,-4,-4,4,-4,4,0,-4,-1,1,2,1,4,-1,0
43,0,1,1,2,0,1,1,25,0.424,0.207,0.346,4,4,1,2,2,4,3,3,2,3,5,0,5,0,0,2,2,3,1,4,4,4,4,4,3,4,NA,NA,NA,NA,"4,5,6",4,1,2,3,4,4,3,4,4,3,0,0,1,1,0,0,1,1,95,95,1,1,1,2,2,2,6,-3,-3,-2,2,2,7,3,7,2,3,3,-2,-3,1,2,3,-4,-4,-4,-4,3,3,4,-4,4,-4,-2,3,-4,-4,2,3,3,-4,0
44,0,0,2,2,0,1,1,31,0.424,0.207,0.346,4,4,1,1,1,1,1,1,1,1,4,2,0,0,0,3,1,1,1,4,3,2,1,1,1,0,75.9778086,48.60046246,27.38834124,24.0111963,1,4,1,3,2,1,4,1,4,4,2,0,0,1,1,0,0,1,1,100,100,2,2,2,3,3,1,7,-3,-3,-2,-1,0,4,3,7,3,1,-1,-3,-3,-3,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,0,1,2,2,0,3,1,27,0.424,0.207,0.346,4,4,0,1,3,4,4,3,2,4,5,5,4,0,0,4,0,2,1,4,3,2,1,1,2,0,NA,NA,NA,NA,5,4,2,1,2,1,4,1,5,4,2,0,1,-1,-1,-1,1,1,0,82,93,1,2,0,1,4,2,6,-3,-3,-3,-2,1,4,3,7,-1,3,2,-3,-2,-2,-3,3,-3,-2,4,-4,0,0,-1,-2,3,1,0,3,-2,-2,0,4,1,-1,0
46,0,0,1,2,0,1,1,31,0.424,0.207,0.346,4,4,1,2,3,4,1,1,3,3,5,0,5,0,1,4,2,1,0,4,4,4,2,4,2,1,79.13533835,87.29216152,4.631828979,8.076009501,1,3,1,4,2,3,5,1,2,3,2,-1,0,1,-1,-1,-1,1,1,83,78,1,1,1,4,3,1,6,-3,-3,-3,0,1,6,0,7,-3,3,3,-3,-3,-2,-1,2,-1,-1,4,3,-1,4,-2,0,0,3,-2,1,-2,2,-2,-2,2,0,1
47,0,0,2,2,0,1,1,29,0.424,0.207,0.346,4,4,1,2,2,4,4,1,2,4,5,0,5,0,0,5,1,1,0,4,3,3,2,2,0,2,NA,NA,NA,NA,"3,4,6",4,2,3,3,3,4,3,4,1,1,1,0,0,1,0,0,1,1,82,82,2,2,1,2,3,1,6,-3,-3,-3,-3,5,1,-3,1,-3,3,3,-3,-3,-3,-3,3,4,0,4,4,0,-4,-4,0,-4,4,0,0,4,4,0,-4,-4,4,0
48,0,0,2,2,0,1,2,22,0.424,0.207,0.346,4,4,0,1,2,2,1,1,1,3,5,1,3,0,0,1,1,1,1,4,4,3,1,2,3,2,78.6237785,92.90523045,2.848265148,4.246504402,"1,4,5",3,3,2,4,1,4,2,3,3,1,0,-1,0,1,0,0,0,1,100,100,1,1,1,2,3,1,6,-3,-3,-3,-2,0,4,-3,7,-3,3,3,-3,-3,-3,-3,3,4,4,4,4,4,-4,-4,4,-4,0,0,0,0,1,0,0,-1,0,1
49,0,0,2,3,0,1,1,32,0.424,0.207,0.346,4,4,1,2,2,3,4,1,2,4,0,0,1,0,0,2,1,1,1,4,1,2,1,2,3,3,62.33766234,9.895833333,58.85416667,31.25,"4,6",3,3,4,3,2,3,4,4,2,2,0,0,0,0,0,1,1,1,34,52,1,1,1,1,2,1,6,-3,-3,-3,-2,0,3,-2,5,1,3,3,-3,-3,-2,3,3,4,4,4,4,-4,-4,0,0,0,-1,1,0,0,1,-2,-2,-2,-1,1
50,0,1,1,3,0,1,1,65,0.424,0.207,0.346,4,4,2,2,2,2,2,2,2,1,1,2,1,0,0,4,2,3,2,4,4,2,2,2,3,4,NA,NA,NA,NA,6,3,3,3,3,3,3,3,3,0,2,1,0,0,-1,-1,0,-1,1,100,100,1,1,1,2,1,2,1,-3,-3,-3,-3,5,4,-3,4,-3,3,3,-3,-3,-3,-3,3,0,0,4,-2,0,-4,0,-4,-4,0,0,-4,4,0,0,-4,0,0,0
51,0,0,2,4,0,1,1,25,0.928,0.022,0.009,4,4,4,4,4,4,4,4,4,4,5,0,0,0,0,5,4,3,1,4,4,2,2,0,4,4,NA,NA,NA,NA,4,5,1,1,3,2,4,1,5,4,3,1,0,0,1,0,0,0,1,100,2,1,1,0,2,3,2,7,-3,-3,0,3,2,1,3,7,3,3,3,0,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,2,2,0,1,1,27,0.928,0.022,0.009,4,4,1,2,2,4,4,4,1,4,5,0,5,0,0,5,0,2,1,4,2,1,1,1,3,3,NA,NA,NA,NA,1,5,2,3,3,3,5,1,5,2,3,0,1,0,-1,0,-1,-1,-1,70,70,1,2,1,2,2,1,6,-3,-3,-3,-3,1,4,-3,7,0,3,3,0,0,0,3,3,0,-4,0,-4,0,0,0,-4,0,-4,-4,0,-4,-4,0,0,0,-4,0
53,0,0,2,2,0,1,1,23,0.783,0.183,0.012,4,4,3,1,0,2,4,1,2,4,0,0,5,0,0,4,0,2,1,4,3,3,3,2,3,3,76.32375189,27.98149983,32.09448299,39.92401718,5,4,1,1,2,3,4,2,3,4,3,1,1,-1,1,-1,1,0,1,90,70,1,2,0,1,3,2,7,3,-3,-3,-2,1,7,-2,7,-2,3,3,-2,-2,-2,2,2,0,0,0,0,0,0,0,0,0,3,-1,-2,2,1,-1,-1,-2,1,1
